from_window_size,to_window_size,from_segment,to_segment,from_dominant,to_dominant,from_interval,to_interval,overlap_lines,center_shift,width_change,relation_type,boundary_note
40,50,131,43,residual,residual,112041-113800,112051-113800,1750,5.0,-10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,132,44,stable,stable,113801-113840,113801-113850,40,5.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,135,45,residual,residual,114481-115120,113851-115100,620,-325.0,610,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,136,46,stable,stable,115121-115160,115101-115150,30,-15.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,137,47,residual,residual,115161-118640,115151-123350,3480,2350.0,4720,widening_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,142,48,stable,stable,123361-137074,123351-137074,13714,-5.0,10,stable_boundary,observer-side boundary deformation under adjacent constitution transition
40,50,1,,residual,,1-160,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,2,,stable,,161-200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,4,,stable,,3041-3080,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,6,,stable,,4561-4600,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,7,,residual,,4601-5120,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,8,,stable,,5121-5160,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,10,,stable,,8241-8280,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,15,,residual,,10161-10240,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,16,,stable,,10241-10280,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,18,,stable,,12801-12840,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,19,,residual,,12841-15080,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,20,,stable,,15081-15120,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,21,,residual,,15121-17640,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,24,,stable,,18761-18800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,28,,stable,,29881-29920,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,29,,residual,,29921-30000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,30,,stable,,30001-30040,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,31,,residual,,30041-32880,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,32,,stable,,32881-32920,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,33,,residual,,32921-34680,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,34,,stable,,34681-34720,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,35,,residual,,34721-34800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,40,,stable,,41281-41320,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,41,,residual,,41321-42720,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,43,,residual,,42761-43480,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,44,,stable,,43481-43520,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,46,,stable,,45481-45520,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,48,,stable,,49041-49080,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,50,,stable,,53721-53760,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,51,,residual,,53761-54280,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,52,,stable,,54281-54320,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,53,,residual,,54321-55640,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,54,,stable,,55641-55680,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,55,,residual,,55681-57000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,57,,residual,,57041-57960,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,58,,stable,,57961-58000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,59,,residual,,58001-58440,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,60,,stable,,58441-58480,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,61,,residual,,58481-59280,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,62,,stable,,59281-59320,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,63,,residual,,59321-60120,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,64,,stable,,60121-60160,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,65,,residual,,60161-61240,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,66,,stable,,61241-61280,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,67,,residual,,61281-62720,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,68,,stable,,62721-62760,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,69,,residual,,62761-64760,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,70,,stable,,64761-64800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,72,,stable,,68361-68400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,73,,residual,,68401-68680,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,74,,stable,,68681-68720,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,75,,residual,,68721-69360,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,76,,stable,,69361-69400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,77,,residual,,69401-71840,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,78,,stable,,71841-71880,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,79,,residual,,71881-71960,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,82,,stable,,72881-72920,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,84,,stable,,73081-73120,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,85,,residual,,73121-73640,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,86,,stable,,73641-73680,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,87,,residual,,73681-74040,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,88,,stable,,74041-74080,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,89,,residual,,74081-75080,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,90,,stable,,75081-75120,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,91,,residual,,75121-77880,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,92,,stable,,77881-77920,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,93,,residual,,77921-80160,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,94,,stable,,80161-80200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,95,,residual,,80201-81400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,96,,stable,,81401-81440,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,97,,residual,,81441-83800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,98,,stable,,83801-83840,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,99,,residual,,83841-84200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,100,,stable,,84201-84240,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,101,,residual,,84241-87000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,102,,stable,,87001-87040,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,103,,residual,,87041-87400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,104,,stable,,87401-87440,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,105,,residual,,87441-87680,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,106,,stable,,87681-87720,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,107,,residual,,87721-87960,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,108,,stable,,87961-88000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,109,,residual,,88001-88520,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,110,,stable,,88521-88560,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,111,,residual,,88561-89200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,112,,stable,,89201-89240,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,114,,stable,,92281-92320,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,115,,residual,,92321-93320,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,116,,stable,,93321-93360,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,117,,residual,,93361-94760,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,118,,stable,,94761-94800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,119,,residual,,94801-95320,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,120,,stable,,95321-95360,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,122,,stable,,99441-99480,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,126,,stable,,106681-106720,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,128,,stable,,111241-111280,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,129,,residual,,111281-112000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,133,,residual,,113841-114440,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,134,,stable,,114441-114480,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,138,,stable,,118641-118680,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,139,,residual,,118681-120320,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,140,,stable,,120321-120360,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
40,50,141,,residual,,120361-123360,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,17,1,residual,residual,24451-34800,1-42675,10350,-8287.5,32325,widening_boundary,observer-side boundary deformation under adjacent constitution transition
50,75,22,2,stable,stable,42701-42750,42676-42750,50,-12.5,25,widening_boundary,observer-side boundary deformation under adjacent constitution transition
50,75,29,3,residual,residual,57051-71950,42751-73050,14900,-6600.0,15400,widening_boundary,observer-side boundary deformation under adjacent constitution transition
50,75,32,4,stable,stable,73051-73100,73051-73125,50,12.5,25,widening_boundary,observer-side boundary deformation under adjacent constitution transition
50,75,33,5,residual,residual,73101-95700,73126-123375,22575,13850.0,27650,widening_boundary,observer-side boundary deformation under adjacent constitution transition
50,75,48,6,stable,stable,123351-137074,123376-137074,13699,12.5,-25,stable_boundary,observer-side boundary deformation under adjacent constitution transition
50,75,1,,residual,,1-3700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,2,,stable,,3701-3750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,3,,residual,,3751-7200,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,4,,stable,,7201-7250,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,5,,residual,,7251-9650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,6,,stable,,9651-9700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,7,,residual,,9701-10100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,8,,stable,,10101-10150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,9,,residual,,10151-17650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,10,,stable,,17651-17700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,11,,residual,,17701-19400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,12,,stable,,19401-19450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,13,,residual,,19451-19700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,14,,stable,,19701-19750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,15,,residual,,19751-24400,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,16,,stable,,24401-24450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,18,,stable,,34801-34850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,19,,residual,,34851-37000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,20,,stable,,37001-37050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,21,,residual,,37051-42700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,23,,residual,,42751-45450,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,24,,stable,,45451-45500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,25,,residual,,45501-46500,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,26,,stable,,46501-46550,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,27,,residual,,46551-57000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,28,,stable,,57001-57050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,30,,stable,,71951-72000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,31,,residual,,72001-73050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,34,,stable,,95701-95750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,35,,residual,,95751-104100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,36,,stable,,104101-104150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,37,,residual,,104151-107650,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,38,,stable,,107651-107700,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,39,,residual,,107701-109050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,40,,stable,,109051-109100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,41,,residual,,109101-112000,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,42,,stable,,112001-112050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,43,,residual,,112051-113800,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,44,,stable,,113801-113850,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,45,,residual,,113851-115100,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,46,,stable,,115101-115150,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
50,75,47,,residual,,115151-123350,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
75,100,5,1,residual,residual,73126-123375,1-123400,50250,-36550.0,73150,widening_boundary,observer-side boundary deformation under adjacent constitution transition
75,100,6,2,stable,stable,123376-137074,123401-137074,13674,12.5,-25,stable_boundary,observer-side boundary deformation under adjacent constitution transition
75,100,1,,residual,,1-42675,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
75,100,2,,stable,,42676-42750,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
75,100,3,,residual,,42751-73050,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
75,100,4,,stable,,73051-73125,,0,,,boundary_disappearance,prior dominant segment not preserved at wider constitution
100,150,1,1,residual,residual,1-123400,1-123300,123300,-50.0,-100,stable_boundary,observer-side boundary deformation under adjacent constitution transition
100,150,2,2,stable,stable,123401-137074,123301-137074,13674,-50.0,100,stable_boundary,observer-side boundary deformation under adjacent constitution transition
150,200,1,1,residual,residual,1-123300,1-123400,123300,50.0,100,stable_boundary,observer-side boundary deformation under adjacent constitution transition
150,200,2,2,stable,stable,123301-137074,123401-137074,13674,50.0,-100,stable_boundary,observer-side boundary deformation under adjacent constitution transition
200,250,1,1,residual,residual,1-123400,1-123250,123250,-75.0,-150,stable_boundary,observer-side boundary deformation under adjacent constitution transition
200,250,2,2,stable,stable,123401-137074,123251-137074,13674,-75.0,150,stable_boundary,observer-side boundary deformation under adjacent constitution transition
250,350,1,1,residual,residual,1-123250,1-123200,123200,-25.0,-50,stable_boundary,observer-side boundary deformation under adjacent constitution transition
250,350,2,2,stable,stable,123251-137074,123201-137074,13824,-25.0,50,stable_boundary,observer-side boundary deformation under adjacent constitution transition
350,500,1,1,residual,residual,1-123200,1-123500,123200,150.0,300,stable_boundary,observer-side boundary deformation under adjacent constitution transition
350,500,2,2,stable,stable,123201-137074,123501-137074,13574,150.0,-300,stable_boundary,observer-side boundary deformation under adjacent constitution transition
500,750,1,1,residual,residual,1-123500,1-123000,123000,-250.0,-500,stable_boundary,observer-side boundary deformation under adjacent constitution transition
500,750,2,2,stable,stable,123501-137074,123001-137074,13574,-250.0,500,stable_boundary,observer-side boundary deformation under adjacent constitution transition
750,1000,1,1,residual,residual,1-123000,1-123000,123000,0.0,0,stable_boundary,observer-side boundary deformation under adjacent constitution transition
750,1000,2,2,stable,stable,123001-137074,123001-137074,14074,0.0,0,stable_boundary,observer-side boundary deformation under adjacent constitution transition
1000,1500,1,1,residual,residual,1-123000,1-123000,123000,0.0,0,stable_boundary,observer-side boundary deformation under adjacent constitution transition
1000,1500,2,2,stable,stable,123001-137074,123001-137074,14074,0.0,0,stable_boundary,observer-side boundary deformation under adjacent constitution transition
1500,2000,1,1,residual,residual,1-123000,1-124000,123000,500.0,1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
1500,2000,2,2,stable,stable,123001-137074,124001-137074,13074,500.0,-1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
2000,3000,1,1,residual,residual,1-124000,1-123000,123000,-500.0,-1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
2000,3000,2,2,stable,stable,124001-137074,123001-137074,13074,-500.0,1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
3000,4000,1,1,residual,residual,1-123000,1-124000,123000,500.0,1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
3000,4000,2,2,stable,stable,123001-137074,124001-137074,13074,500.0,-1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
4000,5000,1,1,residual,residual,1-124000,1-120000,120000,-2000.0,-4000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
4000,5000,2,2,stable,stable,124001-137074,120001-137074,13074,-2000.0,4000,minor_deformation,observer-side boundary deformation under adjacent constitution transition
5000,7000,1,1,residual,residual,1-120000,1-119000,119000,-500.0,-1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
5000,7000,2,2,stable,stable,120001-137074,119001-137074,17074,-500.0,1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
7000,10000,1,1,residual,residual,1-119000,1-120000,119000,500.0,1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
7000,10000,2,2,stable,stable,119001-137074,120001-137074,17074,500.0,-1000,stable_boundary,observer-side boundary deformation under adjacent constitution transition
